1426059,"Aza Services, LLC",Aza Services LLC,812104657,613 Davis Rd,Jefferson,GA,30549,238140,Masonry,12,700,2,0,0,0,0,0,0,0,0,0,0,0,0,752183,1,1,2021,1/1/2022 10:05,
1426062,Sidebotham Substation Services PLLC,Main Office,872042471,1321 Silverleaf Rd,Eastover,NC,28312,221122,Electric power distribution systems,1,2080,2,0,0,0,0,0,0,0,0,0,0,0,0,795139,1,1,2021,1/1/2022 10:05,
1426072,TREXLER TRUCKING INC.,TREXLER TRUCKING INC.,560989375,3350 LIBERTY ROAD,GOLD HILL,NC,28071,484220," Dump trucking (e.g., gravel, sand, top soil) ",83,192000,1,0,0,0,1,0,0,1,0,0,0,0,0,90519,1,2,2021,1/1/2022 16:22,
1426075,Greydale Global Logistics LLC,Greydale Global Logistics LLC,834397532,3316 A South Cobb Dr. Ste 134,Smyrna,GA,30080,492210," Local letter and parcel delivery services (except as part of intercity carrier network, U.S. Postal Service) ",50,90000,2,0,0,0,0,0,0,0,0,0,0,0,0,645664,1,2,2021,1/1/2022 20:26,"For some reason, the data was cancelled out and the numbers are inaccurate"
1426094,Corbion,Corbion,522006028,5150 north royal atlanta dr ,tucker,GA,30084,325411, Acetylsalicylic acid manufacturing ,35,65512,2,0,0,0,0,0,0,0,0,0,0,0,0,655862,1,2,2021,1/2/2022 20:00,
1426098,Gaines and company,Gaines and company Inc,520636385,526 Three Sisters road,Knightdale,NC,27545,237110," Construction management, water and sewer line ",138,311326,1,0,2,1,4,41,127,7,0,0,0,0,0,296934,1,2,2021,1/3/2022 10:58,
1426147,Alma Pak International,Alma Pak International,822899894,230 Pineview Road,Alma,GA,31510,115115, Agriculture production or harvesting crews ,77,3311,2,0,0,0,0,0,0,0,0,0,0,0,0,751398,1,2,2021,1/3/2022 14:48,
1426148,"Hurst Jaws of Life, Inc.","Hurst Jaws of Life, Inc.",230666140,711 N. Post Road,Shelby,NC,28150,333991," Tools, handheld power-driven, manufacturing ",58,105439,1,0,0,1,2,0,5,3,0,0,0,0,0,72566,1,2,2021,1/3/2022 14:51,
1426154,Hose Mster,Atlanta,341363520,5250 Fulton Industrial Blvd.,Atlanta,GA,30336,332999," Tubing, flexible metal, manufacturing ",25,48520,1,0,1,0,1,1,0,2,0,0,0,0,0,198095,1,2,2021,1/3/2022 15:00,
1426207,"Ryder System, Inc.",Ryder Doraville,590747035,6600 Button Gwinnett Drive,Doraville,GA,30340,811310, Commercial and industrial machinery repair and maintenance services ,20,46800,2,0,0,0,0,0,0,0,0,0,0,0,0,662836,1,2,2021,1/3/2022 15:37,
1426235,Roger Zatkoff Company,Raleigh,381683798,8441 Garvey Dr,Raleigh,NC,27616,423840,5085,2,2758,2,0,0,0,0,0,0,0,0,0,0,0,0,795183,1,2,2021,1/3/2022 16:09,
1426294,TMC Taylor Construction Inc,"TMC Taylor Construction, Inc.",561467056,1406 Castle Hayne Rd,Wilmington,NC,28401,236220," Addition, alteration and renovation general contractors, commercial and institutional building ",27,56813,2,0,0,0,0,0,0,0,0,0,0,0,0,544049,1,2,2021,1/3/2022 17:03,
1426331,SOWEGA COTTON GIN & WAREHOUSE LLC,"Sowega Cotton Gin & Warehouse, LLC",,1048 OLD PELHAM RD,CLIMAX,GA,39834,115111, Cotton ginning ,41,103913,1,0,0,0,3,0,0,3,0,0,0,0,0,174852,1,2,2021,1/3/2022 17:45,
1426338,Construction Implements Depot ,Construction Implements Depot,271549455,1248 North Main St,Denton,NC,27239,333111, Bale throwers manufacturing ,200,484716,1,0,3,12,7,6,96,22,0,0,0,0,0,700841,1,2,2021,1/3/2022 17:49,
